年底別,美元匯率官價[元],美元匯率市價[元]
57年,40,41.12
58年,40,46.11
59年,40,41.02
60年,40,46.11
61年,40,41.76
62年,37.9,40.6
63年,37.95,38.3
64年,37.95,40.77
65年,37.95,39.44
66年,37.95,39.97
67年,35.95,38.56
68年,35.98,37.66
69年,35.96,37.97
70年,37.79,39.01
71年,39.86,41.0
72年,40.22,41.6
73年,39.42,41.53
74年,39.8,40.71
75年,35.45,36.31
76年,28.5,28.84
77年,28.12,28.37
78年,-,26.38
79年,27.11,27.26
80年,25.75,26.0
81年,25.4,25.57
82年,26.63,26.99
83年,26.24,26.56
84年,27.27,27.47
85年,27.49,27.65
86年,32.64,32.55
87年,32.22,32.5
88年,31.4,31.82
89年,32.99,33.3
90年,35.0,34.85
91年,34.75,35.06
92年,33.98,34.26
93年,31.92,32.44
94年,32.85,33.52
95年,32.6,32.72
96年,32.44,32.6
97年,32.86,33.34
98年,32.03,32.46
99年,30.37,30.12
100年,30.29,30.45
101年,29.14,29.25
102年,29.95,29.93
103年,31.72,31.61
104年,33.07,32.97
105年,32.28,31.93
106年,29.85,30.16
107年,30.73,31.08
108年,30.11,30.53
109年,28.51,28.79
110年,27.69,28.04
111年,30.71,30.95
